brand,kilometers,model,transmission,year
Chevrolet,58000.0,Spark GT,Mecánica,2018.0
Chevrolet,36780.0,Spark GT,Mecánica,2018.0
Renault,80000.0,Logan,Automática,2018.0
Chevrolet,38100.0,Onix,Mecánica,2018.0
Ford,42900.0,Escape 2018 Titanium,Automática,2018.0
Toyota,58000.0,4Runner,Automática,2018.0
Chevrolet,587000.0,2018,Mecánica,2018.0
Volkswagen,4300.0,Gol,Automática,2018.0
Kia,79285.0,Soul,Automática,2018.0
Great Wall,65000.0,Haval,Automática,2018.0
Nissan,48000.0,Frontier,Mecánica,2018.0
Mitsubishi,65400.0,Montero,Automática,2018.0
Mazda,32000.0,CX-5,Automática,2018.0
Chevrolet,32541.0,Sail hatch back,Mecánica,2018.0
Chevrolet,27000.0,Sail ltz,Mecánica,2018.0
Chevrolet,130020.0,Spark,Mecánica,2012.0
Mazda,147500.0,2,Automática,2012.0
Hyundai,73000.0,TUCSON IX-35,Automática,2012.0
Hyundai,50000.0,TUCSON IX-35,Mecánica,2012.0
Chevrolet,26500.0,Spark GT,Mecánica,2012.0
Kia,82000.0,Sportage,Automática,2012.0
Nissan,118000.0,Frontier,Mecánica,2012.0
Chevrolet,228000.0,AVEO EMOTION,Mecánica,2012.0
Chevrolet,160000.0,AVEO EMOTION,Mecánica,2012.0
Hyundai,110000.0,Elantra,Mecánica,2012.0
Nissan,208000.0,Sentra,Mecánica,2012.0
Chevrolet,90556.21355944383,Prado,Mecánica,2012.612294758021
Dodge,152000.0,Journey,Mecánica,2012.0
Mazda,51000.0,3,Automática,2018.0
BMW,31000.0,Serie 1,Automática,2018.0
Chevrolet,47000.0,Tracker,Automática,2018.0
Citroën,39800.0,C3,Mecánica,2018.0
Ford,16500.0,Fusion,Automática,2018.0
Chevrolet,35000.0,Spark GT,Mecánica,2018.0
JMC,190000.0,2018,Mecánica,2018.0
Kia,45000.0,Picanto,Mecánica,2018.0
SEAT,25000.0,Leon,Automática,2018.0
Kia,25000.0,Picanto,Automática,2018.0
Suzuki,23000.0,Swift,Mecánica,2018.0
Audi,60000.0,Q5,Automática,2018.0
Nissan,28000.0,Frontier,Automática,2018.0
Chevrolet,35000.0,1000,Mecánica,2018.0
RAM,22000.0,V700,Mecánica,2018.0
Changan,51750.0,Mini Truck,Mecánica,2018.0
Chevrolet,50000.0,Equinox,Automática,2018.0
Kia,15000.0,Picanto,Mecánica,2018.0
Chevrolet,48000.0,Sail,Mecánica,2018.0
Chevrolet,58000.0,Sail,Automática,2018.0
Toyota,115000.0,Hilux,Automática,2018.0
Chevrolet,85000.0,Sail,Mecánica,2018.0
Renault,108000.0,Captur,Automática,2018.0
Renault,66000.0,Duster,Automática,2018.0
Chevrolet,51000.0,Sonic LT 1.6,Mecánica,2018.0
Renault,77000.0,Logan,Automática,2018.0
Chevrolet,73934.0,Onix,Automática,2018.0
Ford,59000.0,Fiesta,Automática,2018.0
Nissan,65000.0,350Z,Automática,2018.0
Nissan,41000.0,X-Trail,Automática,2018.0
Honda,37500.0,WR-V,Mecánica,2018.0
Jeep,17000.0,Wrangler,Automática,2018.0
Kia,43000.0,Picanto,Mecánica,2018.0
Chevrolet,45000.0,Spark GT,Mecánica,2018.0
Audi,60000.0,Q5,Automática,2018.0
Suzuki,43000.0,Jimny,Mecánica,2018.0
Toyota,84000.0,Hilux,Automática,2018.0
Kia,1.0,Picanto,Mecánica,2018.0
Jeep,66580.0,Wrangler,Automática,2018.0
Kia,120000.0,Picanto,Mecánica,2018.0
Chevrolet,174136.0,Spark GT,Automática,2018.0
Chevrolet,70000.0,life,Mecánica,2018.0
Kia,32000.0,Rio,Mecánica,2018.0
Kia,35600.0,Picanto,Mecánica,2018.0
Peugeot,39000.0,208,Automática,2018.0
Chevrolet,100000.0,Spark,Mecánica,2018.0
Chery,100000.0,YOYA,Mecánica,2012.0
BMW,80000.0,X1,Automática,2012.0
Chevrolet,178000.0,Spark GT,Mecánica,2012.0
Chevrolet,167000.0,Captiva,Automática,2012.0
Chevrolet,116278.0,N300,Mecánica,2012.0
Renault,40000.0,Stepway,Automática,2012.0
Chevrolet,103000.0,D-Max,Mecánica,2012.0
Kia,78042.0,Picanto,Automática,2012.0
Hyundai,140000.0,TUCSON IX-35,Mecánica,2012.0
