brand,kilometers,model,transmission,year
145,101000.0,872,3,2012.0
145,142000.0,1395,3,2012.0
50,97000.0,678,3,2012.0
43,78000.0,850,3,2012.0
50,90000.0,678,3,2012.0
137,70000.0,8,3,2012.0
25,44300.0,1371,3,2012.0
145,107151.0,1288,3,2012.0
89,89000.0,1380,3,2012.0
89,91000.0,1106,3,2012.0
25,240000.0,1022,3,2012.0
157,90000.0,258,3,2012.0
145,113000.0,1516,3,2012.0
25,52000.0,1354,3,2012.0
130,156000.0,704,3,2012.0
130,153000.0,1552,3,2012.0
50,80000.0,678,3,2012.0
74,112000.0,1434,3,2012.0
74,125445.0,1700,3,2012.0
130,202000.0,1042,3,2012.0
25,180000.0,1362,3,2012.0
145,109356.0,932,3,2012.0
74,74000.0,93,3,2012.0
